StationValue,AttackStrategy,ActualAttack,PerceivedAttack,DefenseStrategy
0.0673412483046057,0.0992760858030573,0.00633663366336634,1.10313051210107e-24,0.02
0.129548092762677,0.100259077969978,0.188019801980198,0.000216556602950641,0.0202275971441416
0.147940745965464,0.0990796788661723,0.214554455445545,0.117682544012124,0.16124211329944
0.124102854482929,0.101091883384134,0.157920792079208,0.262960901685017,0.284750814923437
0.0325251081573889,0.0987588880735494,0.00475247524752475,1.9429853415996e-79,0.02
0.0648099697641408,0.0996150729931288,0.00821782178217822,1.93129858273487e-49,0.02
0.127942731481615,0.100956470117129,0.189009900990099,0.296198377281634,0.119849919501637
0.101419972904207,0.10015333759809,0.0588118811881188,0.000280818707751699,0.0202310542073844
0.123297300861075,0.100715661170465,0.163762376237624,0.237858497949006,0.257923092416157
0.0810719753158976,0.100093844024296,0.00861386138613861,0.0848023037615172,0.0757754085078031
